Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,144.78,-51.435,0.0,top
C2,100n,C_0402_1005Metric,144.78,-61.595,0.0,top
C3,100n,C_0402_1005Metric,135.255,-62.865,0.0,top
C4,100n,C_0402_1005Metric,135.255,-76.2,0.0,top
C5,100n,C_0402_1005Metric,135.255,-50.8,0.0,top
D1,1N4148,D_SOD-123F,139.065,-53.34,-90.0,top
J1,Conn_01x10,PinHeader_1x10_P2.54mm_Vertical,109.22,-67.31,0.0,top
R1,200k,R_0402_1005Metric,141.605,-59.055,0.0,top
R10,200k,R_0402_1005Metric,126.365,-53.34,90.0,top
R11,200k,R_0402_1005Metric,126.365,-61.595,90.0,top
R12,200k,R_0402_1005Metric,126.365,-69.215,90.0,top
R13,200k,R_0402_1005Metric,126.365,-77.47,90.0,top
R14,200k,R_0402_1005Metric,126.365,-85.725,90.0,top
R2,200k,R_0402_1005Metric,144.78,-56.515,0.0,top
R3,200k,R_0402_1005Metric,144.78,-59.055,0.0,top
R4,200k,R_0402_1005Metric,141.605,-61.595,0.0,top
R5,200k,R_0402_1005Metric,144.78,-53.975,0.0,top
R6,200k,R_0402_1005Metric,128.905,-86.995,180.0,top
R8,200k,R_0402_1005Metric,138.43,-59.055,0.0,top
R9,200k,R_0402_1005Metric,138.43,-61.595,0.0,top
SW1,DFU,SW_PUSH_6mm,142.875,-69.215,0.0,top
SW2,nBOOT,SW_PUSH_6mm,142.875,-77.47,0.0,top
SW3,nRST,SW_PUSH_6mm,142.875,-85.725,0.0,top
SW4,k01,SW_PUSH_6mm,120.65,-53.34,0.0,top
SW5,k02,SW_PUSH_6mm,120.575,-61.25,0.0,top
SW6,k03,SW_PUSH_6mm,120.65,-69.215,0.0,top
SW7,k04,SW_PUSH_6mm,120.65,-77.47,0.0,top
SW8,k05,SW_PUSH_6mm,120.65,-85.725,0.0,top
U1,74LS14,SOIC-14_3.9x8.7mm_P1.27mm,132.715,-67.945,0.0,top
U2,74LS132,SOIC-14_3.9x8.7mm_P1.27mm,132.715,-55.88,0.0,top
U3,74LS08,SOIC-14_3.9x8.7mm_P1.27mm,132.78,-81.28,0.0,top
